field_id,season_year,soil_ph,soil_type,soil_moisture_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,forecast_rain_mm,avg_temp,precip_history_mm,previous_crop,crop_planted,yield_t_ha,water_source
Field_031,2018,7.3,PEAT,50.08,66.01,52.02,36.0,251.46,12.63,632.0,Cabbage,Soybean,6.63,canal
Field_047,2018,,Loam,15.87,14.9,27.98,48.19,164.93,19.93,236.89,Rice,Millet,6.27,rainfed
Field_046,2023,6.09,SILT,10.0,99.63,13.4,66.88,497.93,34.0,88.64,Tea,Kale,5.39,rainfed
Field_024,2018,6.49,Clay,23.34,31.49,48.98,86.95,511.22,35.25,365.02,Millet,Millet,9999.0,river
Field_014,2024,4.99,Loam,29.01,146.58,18.02,51.04,398.54,36.42,107.0,Potato,Potato,2.24,canal
Field_040,2019,5.78,LOAM,11.53,37.45,47.24,93.68,336.86,15.93,252.98,Strawberry,Raspberry,9.87,rainfed
Field_009,2021,6.96,Peat,63.96,104.37,40.48,30.54,553.54,18.3,275.84,Grapes,Canola,3.18,rainfed
Field_050,2021,7.17,Peat,33.66,141.27,48.89,71.94,,16.13F,452.83,Cocoa,Mango,9.96,well
Field_005,2021,-1,Silt,24.94,53.27,24.93,53.89,645.51,19.69,196.12,Cotton,Kale,8.11,canal
Field_013,2024,5.55,Peat,27.64,106.55,49.39,33.36,211.5,27.56,868.91,Sunflower,Hemp,3.98,rainfed
Field_030,2022,6.07,Silt,39.28,43.39,47.9,77.28,704.46,8.12,455.51,Sunflower,Melon,4.55,rainfed
Field_041,2021,6.17,Sandy,28.65,80.43,59.77,71.46,608.0,17.27,728.08,Pear,Sunflower,1.52,river
Field_021,2020,5.64,SANDY,36.74,28.62,45.56,84.26,486.58,22.85,480.11,Cucumber,Grapes,2.97,rainfed
Field_021,2023,5.87,SANDY,48.06,29.32,42.77,86.53,779.95,29.41,646.9,Corn,Pepper,8.94,rainfed
Field_040,2022,6.95,LOAM,10.46,49.76,38.56,94.53,11.3 in,18.92F,423.83,Strawberry,Wheat,9.35,rainfed
Field_047,2023,5.38,Loam,17.52,9.6,42.39,79.84,192.09,24.2F,192.62,Strawberry,Sorghum,5.09,rainfed
Field_005,2024,7.15,Silt,29.78,62.04,32.52,67.19,580.85,19.57F,202.82,Sorghum,Coffee,9.38,canal
Field_001,2024,6.37,silt,24.73,11.43,61.02,34.54,602.76,28.94,192.32,Cabbage,Barley,9.52,canal
Field_016,2019,4.97,clay,17.36,91.39,15.83,73.52,19.5 in,21.1F,537.12,Lentil,Carrot,1.25,well
Field_040,2021,7.8,LOAM,12.58,46.4,49.1,84.33,269.47,20.29,339.17,Cucumber,Tomato,8.55,rainfed
Field_050,2018,7.84,Peat,37.7,126.43,58.0,66.08,617.55,15.68,616.58,Banana,Lettuce,9.54,well
Field_020,2021,6.26,LOAM,19.69,88.67,24.85,107.59,430.88,16.06F,361.82,Oats,Bean,8.89,rainfed
Field_025,2023,7.43,Silt,11.8,43.52,51.72,61.07,27.8 in,26.7,332.18,Pumpkin,Rice,6.13,well
Field_045,2024,5.71,clay,47.54,24.98,59.21,77.61,392.19,19.95F,224.24,Pepper,Tea,9.23,river
Field_001,2019,9.44,silt,34.0,13.47,44.4,28.93,443.83,28.59,273.41,Pea,Pineapple,0.7,canal
Field_021,2020,5.35,SANDY,41.37,30.21,45.67,104.84,397.69,27.55,392.93,Oats,Oats,0.8,rainfed
Field_002,2025,8.66,clay,55.94,110.47,29.3,forty,524.89,27.31,86.48,Cocoa,Plum,6.15,canal
Field_024,2019,4.98,Clay,24.01,26.25,41.61,61.77,300.65,35.51,250.4,Coffee,Coffee,5.77,river
Field_011,2019,5.93,CLAY,16.12,21.22,20.3,93.35,584.8,11.48,210.28,Pea,Pea,0.79,well
Field_039,2021,6.27,SILT,13.43,18.18,43.02,33.94,238.97,8.63,390.55,Melon,Pepper,9.5,rainfed
Field_018,2024,4.47,Peat,29.55,69.2,49.16,42.45,339.25,15.54F,684.73,Peach,Mango,1.06,canal
Field_028,2021,4.52,Loam,33.63,30.57,63.16,76.13,253.89,18.96,390.71,Garlic,Millet,5.07,well
Field_020,2020,4.92,LOAM,15.97,85.36,26.24,86.99,382.69,14.68,582.28,Potato,Tomato,2.91,rainfed
Field_022,2021,6.78,loam,,130.16,28.92,30.02,311.47,22.39F,645.31,Garlic,Bean,4.67,rainfed
Field_012,2020,5.48,Silt,13.97,16.27,43.65,22.89,233.02,24.19,836.8,Grapes,Broccoli,9.21,river
Field_014,2019,5.56,Loam,32.26,157.19,21.3,38.1,335.0,35.55,107.36,Cocoa,Plum,5.52,canal
Field_006,2020,8.05,sandy,47.45,93.13,13.04,31.09,657.13,16.02,109.51,Peach,Grapes,7.19,well
Field_006,2019,6.32,sandy,28.78,94.07,13.68,29.6,509.98,12.81,133.83,Rice,Rice,9.84,well
Field_018,2018,6.04,Peat,29.31,53.92,37.98,35.54,311.99,15.14,693.18,Banana,Cabbage,1.52,canal
Field_016,2019,5.58,clay,11.39,,14.08,92.47,627.84,18.06F,555.49,Cucumber,Cucumber,7.57,well
Field_025,2021,8.51,Silt,18.53,67.43,51.66,80.56,597.78,25.73,337.12,Onion,Lentil,4.61,well
Field_015,2019,6.58,peat,25.38,63.19,21.17,49.61,569.06,13.07,643.1,Sweet Potato,Cabbage,9.72,well
Field_018,2023,4.46,Peat,27.71,60.94,53.9,48.21,403.5,13.05,661.87,Spinach,Raspberry,9.71,canal
Field_005,2023,7.17,Silt,24.26,62.66,29.99,60.2,632.14,19.88,195.99,Tomato,Tea,2.99,canal
Field_022,2019,7.13,loam,60.22,130.08,38.27,31.01,560.88,22.42F,616.96,Rice,Pepper,8.75,rainfed
Field_016,2020,5.23,clay,13.31,109.12,19.72,73.2,719.69,17.75,476.14,Soybean,Soybean,9.27,well
Field_024,2020,5.22,Clay,20.32,21.56,31.79,65.33,545.82,36.53F,323.88,Wheat,Millet,6.33,river
Field_019,2024,7.77,Sandy,23.61,121.28,58.9,53.3,30.4 in,28.21,716.09,Pepper,Chickpea,6.68,rainfed
Field_047,2020,5.3,Loam,22.39,13.7,45.91,66.49,-0.0 in,22.63,236.87,Onion,Cauliflower,6.61,rainfed
Field_039,2019,6.8,SILT,24.66,23.68,37.78,31.5,171.52,10.23,552.4,Corn,Corn,2.69,rainfed
Field_016,2020,5.48,clay,15.6,150.07,11.48,64.21,548.42,17.5F,512.71,Pepper,Rice,7.01,well
Field_013,2024,7.33,Peat,20.59,150.81,34.77,20.01,7.6 in,29.02F,567.43,Canola,Kale,1.51,rainfed
Field_039,2024,6.48,SILT,22.22,20.08,33.68,40.55,187.52,10.57,622.2,Pepper,Pepper,0.94,rainfed
Field_022,2018,5.57,loam,59.76,118.82,45.47,22.46,546.5,26.47,901.84,Strawberry,Cabbage,3.57,rainfed
Field_050,2025,4.95,Peat,32.78,95.22,72.33,67.07,562.52,16.54F,729.2,Grapes,Hemp,1.54,well
Field_001,2018,7.47,silt,32.87,16.2,63.79,27.96,453.69,26.78,261.64,Pepper,Kale,4.74,canal
Field_029,2024,6.24,SANDY,30.89,101.01,17.18,68.59,20.5 in,16.91,75.37,Sorghum,Mango,4.36,rainfed
Field_024,2018,5.16,Clay,24.33,29.06,39.85,64.88,517.16,28.0,342.71,Apple,Beet,2.6,river
Field_025,2025,7.83,Silt,16.78,55.84,29.51,98.61,625.65,26.07,505.65,Canola,Coffee,-3.5,well
Field_036,2022,5.72,peat,41.07,106.74,40.6,42.31,564.66,22.95,571.31,Tea,Hemp,8.57,river
Field_049,2021,6.3,Loam,27.9,16.91,12.74,119.53,519.5,11.75,415.44,Strawberry,Peach,5.99,canal
Field_035,2020,7.1,Clay,12.01,33.99,30.13,55.52,458.97,21.27,485.3,Tomato,Tomato,3.54,river
Field_031,2022,6.62,PEAT,54.28,52.02,52.38,32.19,417.48,11.64F,797.96,Wheat,Hemp,5.7,canal
Field_007,2020,8.89,PEAT,14.6,34.09,44.52,60.03,525.43,28.46,191.1,Soybean,Strawberry,4.16,canal
Field_050,2018,8.21,Peat,25.74,116.57,65.46,92.5,26.2 in,14.03,479.79,Strawberry,Grapes,8.66,well
Field_022,2021,7.22,loam,37.77,118.96,29.29,21.0,369.85,25.91,860.32,Bean,Cucumber,2.62,rainfed
Field_043,2025,8.37,Loam,39.95,133.08,16.82,30.83,354.49,9.24,forty,Flax,Millet,6.25,well
Field_002,2020,8.86,clay,55.43,167.75,31.55,39.67,535.18,25.55,98.99,Plum,Rye,7.76,canal
Field_003,2018,8.5,LOAM,26.55,26.26,49.01,90.39,166.83,26.13,591.18,Canola,Raspberry,0.85,canal
Field_047,2021,8.41,Loam,16.2,11.89,47.14,70.68,142.78,20.39,207.9,Plum,Plum,1.19,rainfed
Field_030,2024,8.68,Silt,30.55,43.72,53.78,62.7,353.07,8.29,523.71,Onion,Cauliflower,4.04,rainfed
Field_043,2024,9.21,Loam,33.5,133.26,21.07,24.77,485.63,8.92,208.34,Cauliflower,Rice,3.45,well
Field_020,2020,4.9,LOAM,21.41,93.59,18.07,64.73,289.4,16.85,446.17,Plum,Lentil,2.49,rainfed
Field_021,2020,5.29,SANDY,47.42,35.02,50.36,97.3,470.29,30.37,466.02,Pineapple,Broccoli,9.31,rainfed
Field_011,2020,7.32,CLAY,19.49,22.6,31.3,97.94,395.89,12.18,290.41,Lentil,Barley,5.38,well
Field_030,2021,7.38,Silt,37.07,68.31,41.68,64.16,533.43,9.04,432.08,Strawberry,Strawberry,8.35,rainfed
Field_043,2018,8.93,Loam,43.25,115.3,12.7,20.72,322.65,8.92F,309.09,Rice,Hemp,3.36,well
Field_041,2025,8.47,Sandy,38.25,74.36,59.0,64.14,377.73,21.11,471.81,Pineapple,Pea,7.92,river
Field_045,2020,6.44,clay,45.78,33.38,40.53,74.22,414.13,17.78,277.95,Flax,Pea,-3.5,river
Field_011,2024,5.43,CLAY,17.44,21.39,24.97,89.9,551.28,10.12,266.32,Pepper,Pear,3.17,well
Field_033,2021,7.35,Silt,19.49,119.23,7.55,83.99,16.6 in,21.88F,280.58,Chickpea,Bean,3.43,well
Field_041,2019,6.08,Sandy,37.62,107.62,44.87,113.86,13.1 in,16.92,558.82,Grapes,Grapes,2.53,river
Field_048,2020,4.45,LOAMY,17.23,81.66,48.2,36.3,765.91,13.41,627.1,Barley,Sunflower,7.28,river
Field_011,2021,4.78,CLAY,20.55,21.3,forty,105.68,372.83,9.61F,260.57,Wheat,Wheat,2.17,well
Field_017,2018,5.39,sandy,30.45,64.65,48.9,20.57,286.19,11.23,350.6,Cucumber,Peach,6.5,rainfed
Field_015,2020,7.5,peat,34.97,75.0,12.34,45.38,429.16,13.0F,540.43,Grapes,Wheat,2.72,well
Field_029,2019,forty,SANDY,40.12,112.15,13.71,67.58,18.7 in,17.85,144.52,Pumpkin,Potato,4.93,rainfed
Field_010,2025,,Silt,12.46,132.02,41.27,66.99,518.13,33.78,295.58,Sunflower,Sunflower,5.03,canal
Field_019,2023,5.73,Sandy,18.91,174.17,43.62,56.91,740.9,30.22,405.95,Oats,Cassava,4.42,rainfed
Field_039,2020,9.19,SILT,24.28,25.18,44.59,36.64,125.3,11.1,363.78,Millet,Millet,3.6,rainfed
Field_049,2020,5.11,Loam,34.3,20.83,15.59,97.08,688.25,12.62,268.87,Spinach,Sweet Potato,8.41,canal
Field_001,2024,7.01,silt,27.77,15.52,55.79,22.99,417.16,27.19,213.83,Hemp,Pepper,2.73,canal
Field_015,2022,6.23,peat,25.34,62.9,12.03,32.4,32.3 in,14.7,846.84,Strawberry,Pear,0.71,well
Field_029,2024,9.29,SANDY,24.55,107.05,17.1,52.02,879.37,14.2,141.71,Pear,Rye,5.36,rainfed
Field_049,2018,4.68,Loam,25.91,18.63,16.33,98.97,517.88,15.03,269.43,Pumpkin,Oats,8.07,canal
Field_001,2023,6.82,silt,34.26,15.45,51.44,24.83,397.23,29.93,170.73,Pineapple,Sweet Potato,2.16,canal
Field_035,2021,9.46,Clay,14.58,51.77,50.99,86.59,492.57,23.66,725.94,Pepper,Canola,5.93,river
Field_047,2022,6.15,Loam,23.35,11.99,33.31,48.15,225.77,20.63,230.69,Sunflower,Blueberry,6.58,rainfed
Field_019,2025,5.74,Sandy,13.97,144.73,49.94,62.5,814.19,29.75,357.91,Pepper,Blueberry,7.78,rainfed
Field_023,2021,7.32,LOAM,16.97,123.28,39.47,85.28,211.55,21.19F,189.13,Blueberry,Beet,3.86,rainfed
Field_025,2019,8.61,Silt,13.26,43.09,41.69,88.49,439.83,27.52,506.45,Cabbage,Cabbage,5.58,well
Field_042,2019,5.73,Sandy,11.5,13.48,52.17,18.27,313.65,15.37F,686.66,Peach,Garlic,5.98,river
Field_030,2025,7.43,Silt,25.88,59.44,74.44,44.09,580.32,9.16,,Beet,Cocoa,6.01,rainfed
Field_024,2025,4.93,Clay,31.56,30.0,49.21,98.68,411.57,36.15,294.52,Banana,Beet,4.8,river
Field_020,2023,5.19,LOAM,19.36,93.08,16.69,78.45,420.19,13.73,310.61,Beet,Blueberry,0.88,rainfed
Field_025,2019,5.87,Silt,17.81,39.63,48.78,66.22,471.05,28.07,537.63,Canola,Tomato,5.54,well
Field_040,2019,5.44,LOAM,8.35,45.01,52.91,78.7,11.5 in,20.12,251.57,Pea,Broccoli,4.67,rainfed
Field_040,2022,7.25,LOAM,14.35,52.41,59.98,57.22,212.8,18.24F,375.29,Pumpkin,Pear,2.66,rainfed
Field_049,2025,4.44,Loam,36.26,17.77,21.65,94.47,656.95,12.59F,363.95,Rye,Rye,9.55,canal
Field_043,2020,7.92,Loam,44.55,132.4,13.37,25.89,359.56,10.44,191.67,Kale,Kale,0.66,well
Field_017,2025,4.37,sandy,35.03,81.61,63.92,25.55,457.37,9.32,285.62,Plum,Barley,9.79,rainfed
Field_024,2023,6.85,Clay,27.14,26.94,33.32,88.76,421.18,30.64,362.31,Coffee,Plum,0.8,river
Field_023,2021,8.68,LOAM,21.18,143.08,32.9,109.04,193.01,19.47F,202.6,Sunflower,Soybean,8.31,rainfed
Field_004,2024,5.2,CLAY,forty,11.02,11.59,87.07,297.79,22.6,462.22,Grapes,Grapes,1.18,well
Field_044,2018,6.4,Peat,60.52,80.24,40.59,27.52,657.96,15.33,507.93,Lentil,Tea,9999.0,well
Field_034,2021,5.95,loam,60.6,100.14,16.76,110.62,8.3 in,20.51F,108.02,Cauliflower,Bean,4.45,well
Field_033,2018,7.18,Silt,18.51,146.37,6.56,95.37,381.65,25.01,285.32,Strawberry,Strawberry,5.44,well
Field_007,2022,7.45,PEAT,18.86,33.89,39.38,86.9,598.79,29.5,245.3,Lentil,Lentil,8.07,canal
Field_026,2018,5.7,clay,40.29,71.35,12.81,40.85,254.39,24.83,480.53,Pear,Pear,1.74,canal
Field_011,2019,5.54,CLAY,15.81,18.49,27.23,118.03,390.11,11.99,185.46,Blueberry,Blueberry,6.9,well
Field_004,2024,7.3,CLAY,27.6,17.04,14.98,110.66,19.1 in,21.68,430.65,Beet,Corn,5.89,well
Field_032,2021,4.66,peat,43.58,120.67,68.63,64.86,374.9,22.31,483.52,Peach,Barley,3.2,well
Field_006,2021,5.67,sandy,42.5,87.63,14.71,43.69,442.98,15.0,207.86,Corn,Corn,2.78,well
Field_044,2024,7.75,Peat,46.12,65.0,29.59,34.57,531.42,14.42,738.91,Apple,Plum,8.79,well
Field_013,2019,6.91,Peat,31.33,84.41,40.03,28.19,186.52,27.46,451.56,Sorghum,Melon,7.98,rainfed
Field_045,2025,8.05,clay,39.58,35.21,60.11,56.82,363.12,20.51,145.58,Beet,Beet,5.3,river
Field_001,2020,9.06,silt,29.92,19.35,51.42,33.03,578.0,31.54,143.16,Kale,Carrot,5.19,canal
Field_016,2025,4.95,clay,12.11,132.06,12.53,91.59,635.56,20.81F,582.1,Rice,Rye,4.17,well
Field_003,2021,8.0,LOAM,31.68,25.93,-1,66.17,287.08,26.32,344.23,Rice,Plum,6.05,canal
Field_009,2019,8.41,Peat,54.9,104.45,50.32,41.53,626.7,18.92F,188.53,Pear,Pear,5.07,rainfed
Field_048,2021,5.58,LOAMY,20.65,59.1,61.07,29.21,835.41,13.68F,710.88,Oats,Bean,8.71,river
Field_014,2025,5.6,Loam,36.9,91.29,21.61,,485.39,32.61,86.0,Rice,Rice,8.93,canal
Field_005,2021,6.43,Silt,26.54,44.72,27.87,65.51,,18.34,385.38,Lettuce,Pear,1.23,canal
Field_013,2023,6.24,Peat,34.95,102.55,31.5,34.58,200.59,25.09F,573.48,Plum,Millet,5.76,rainfed
Field_013,2023,7.26,Peat,21.68,119.03,48.34,33.28,9.7 in,25.19,611.79,Bean,Cucumber,3.07,rainfed
Field_032,2018,4.62,peat,27.85,117.98,61.92,91.76,11.7 in,26.34,820.8,Cotton,Pear,3.63,well
Field_018,2020,4.4,Peat,18.78,55.51,32.01,56.76,349.75,14.3,461.59,Apple,Cabbage,5.39,canal
Field_018,2023,6.23,Peat,22.77,58.59,48.07,35.89,259.91,16.76F,484.6,Pineapple,Sunflower,4.28,canal
Field_027,2025,4.97,Sandy,55.96,54.5,27.09,23.0,409.2,13.17F,186.5,Peach,Bean,3.77,canal
Field_013,2025,6.22,Peat,24.35,146.7,27.76,31.86,196.58,28.19,786.51,Lentil,Cassava,4.89,rainfed
Field_035,2022,7.03,Clay,9.33,52.79,45.65,forty,595.48,25.79,606.82,Spinach,Pumpkin,4.1,river
Field_020,2018,5.65,LOAM,15.85,109.77,15.54,79.77,377.96,15.95F,445.04,Rye,Sweet Potato,9.49,rainfed
Field_046,2022,7.71,SILT,9.63,161.51,17.15,65.88,439.19,31.86F,117.54,Cucumber,Cucumber,7.14,rainfed
Field_001,2018,6.3,silt,29.93,17.05,65.19,33.41,13.9 in,32.74,233.82,Oats,Pumpkin,2.79,canal
Field_038,2023,6.56,SANDY,65.86,67.74,37.33,58.83,563.86,11.36,335.68,Strawberry,Cucumber,8.64,rainfed
Field_016,2022,7.31,clay,17.93,131.29,19.07,74.67,26.6 in,16.43,415.21,Potato,Chickpea,1.14,well
Field_038,2019,5.41,SANDY,37.41,75.31,22.82,57.38,450.53,12.19,262.18,Cucumber,Mango,7.29,rainfed
Field_037,2021,6.92,Sandy,24.65,68.33,44.32,84.76,609.8,20.01,707.44,Plum,Barley,3.43,well
Field_017,2024,5.86,sandy,36.56,90.49,53.72,21.34,317.14,10.53,360.68,Beet,Strawberry,4.78,rainfed
Field_017,2023,5.2,sandy,23.81,70.81,64.6,20.44,304.65,10.45,567.26,Pineapple,Rice,8.17,rainfed
Field_023,2018,7.09,LOAM,20.34,81.87,48.04,70.82,234.36,19.9,133.06,Tomato,Raspberry,4.43,rainfed
Field_032,2022,6.31,peat,30.7,126.72,60.91,88.22,279.77,27.16,615.67,Soybean,Pineapple,5.35,well
Field_036,2019,7.66,peat,35.43,107.11,44.93,49.6,704.49,22.62F,584.99,Cassava,Garlic,9.88,river
Field_009,2021,5.5,Peat,43.37,82.85,59.04,44.79,678.1,20.11,215.79,Strawberry,Cassava,6.66,rainfed
Field_027,2018,5.42,Sandy,59.53,37.25,35.12,19.6,669.62,12.51,324.67,Lettuce,Raspberry,8.49,canal
Field_028,2021,6.33,Loam,34.09,44.63,53.27,87.73,187.26,16.09,529.72,Coffee,Grapes,4.44,well
Field_036,2024,8.82,peat,48.09,90.87,49.82,32.35,724.99,22.65,520.1,Rice,Pineapple,6.47,river
Field_044,2023,6.94,Peat,52.13,67.85,26.25,33.15,650.38,14.74,791.27,Pear,Chickpea,8.17,well
Field_039,2024,7.36,SILT,24.11,30.34,39.15,44.22,215.13,10.63,696.67,Beet,Beet,5.43,rainfed
Field_011,2025,,CLAY,20.8,20.11,31.87,96.06,643.88,9.8,209.79,Plum,Pumpkin,1.93,well
Field_016,2021,5.06,clay,19.36,106.54,12.87,70.34,661.09,18.83F,314.72,Sorghum,Beet,9.33,well
Field_036,2021,8.83,peat,35.89,74.14,31.55,41.64,800.64,28.69,727.46,Flax,Blueberry,9.56,river
Field_003,2020,7.0,LOAM,27.82,23.57,,,303.22,29.26,441.45,Soybean,Wheat,6.14,canal
Field_044,2023,7.59,Peat,46.79,98.03,36.25,32.26,672.69,14.64,749.3,Apple,Banana,4.93,well
Field_031,2021,7.24,PEAT,34.7,72.0,44.66,41.64,372.39,11.19,603.02,Sunflower,Pea,5.46,canal
Field_012,2021,5.6,Silt,12.34,19.04,35.95,32.07,9.7 in,24.01,573.23,Coffee,Millet,7.67,river
Field_032,2025,7.24,peat,,82.24,41.47,102.73,16.7 in,27.67,524.07,Pear,Barley,0.56,well
Field_040,2018,4.97,LOAM,10.92,55.67,46.92,81.12,244.79,18.41,297.45,Potato,Potato,9.05,rainfed
Field_041,2020,9.18,Sandy,34.63,80.48,40.7,66.18,580.59,20.3,814.02,Pea,Rice,4.46,river
Field_022,2021,7.66,loam,47.98,114.81,44.74,27.27,345.11,22.72,655.31,Bean,Sorghum,7.72,rainfed
Field_005,2021,6.66,Silt,25.61,49.58,22.14,75.34,449.99,15.56,290.4,Pepper,Coffee,5.37,canal
Field_050,2025,5.57,Peat,30.01,147.03,68.37,77.98,544.84,14.22F,391.43,Tea,Broccoli,4.92,well
Field_017,2022,4.24,sandy,22.8,82.22,67.29,25.17,393.65,11.95,357.8,Pineapple,Pineapple,9.07,rainfed
Field_032,2025,6.83,peat,30.56,137.92,52.55,65.29,302.4,22.66,437.02,Melon,Tea,7.3,well
Field_001,2023,7.18,silt,32.75,12.33,56.69,31.31,496.17,31.84,278.83,Pear,Pear,6.85,canal
Field_014,2022,5.68,Loam,35.53,94.46,21.59,36.61,343.4,32.83,93.53,Bean,Sorghum,0.79,canal
Field_026,2022,8.53,clay,46.89,90.57,-1,35.09,306.66,19.52,393.6,Cotton,Cassava,8.44,canal
Field_017,2025,6.4,sandy,,58.5,61.45,26.26,290.9,11.66,463.12,Carrot,Sunflower,9.8,rainfed
Field_015,2020,6.15,peat,36.39,64.09,12.25,44.93,632.29,-1F,565.61,Canola,Tomato,0.55,well
Field_045,2022,6.23,clay,57.44,38.8,59.34,72.81,444.43,22.98,234.24,Cauliflower,Cauliflower,3.24,river
Field_017,2025,6.13,sandy,38.29,65.23,41.79,23.9,403.34,10.74F,527.01,Sweet Potato,Sweet Potato,6.16,rainfed
Field_045,2020,8.0,clay,52.29,37.98,34.8,84.05,253.54,22.67,159.41,Banana,Banana,9.59,river
Field_037,2023,4.73,Sandy,31.39,80.24,30.86,67.07,722.54,,673.74,Oats,Cabbage,3.31,well
Field_019,2023,9.2,Sandy,23.4,111.08,43.73,37.11,566.8,32.84,499.26,Pea,Pumpkin,5.16,rainfed
Field_022,2022,7.88,loam,47.4,127.13,42.85,-1,567.99,,706.56,Barley,Barley,3.15,rainfed
Field_034,2021,6.34,loam,58.48,97.9,16.05,107.25,314.73,25.46F,70.97,Cauliflower,Cauliflower,4.64,well
Field_001,2020,6.85,silt,22.63,20.76,60.19,34.32,486.71,31.98,234.65,Onion,Canola,0.99,canal
Field_036,2022,6.35,peat,46.04,121.28,55.71,28.96,652.68,28.11,450.86,Beet,Sunflower,8.49,river
Field_014,2020,5.61,Loam,35.79,103.07,14.03,57.11,393.83,27.98,65.23,Oats,Spinach,5.47,canal
Field_001,2019,7.77,silt,27.88,-1,39.87,25.75,20.2 in,33.07F,255.47,Canola,Carrot,2.24,canal
Field_036,2023,7.8,peat,49.43,120.84,35.38,29.37,835.26,29.61,777.47,Cocoa,Cocoa,5.94,river
Field_011,2019,6.03,CLAY,14.2,22.04,33.08,116.55,20.3 in,9.6,255.44,Kale,Pear,4.77,well
Field_036,2018,8.25,peat,36.46,84.11,44.94,30.06,450.31,23.18,639.96,Strawberry,Wheat,5.37,river
Field_046,2019,-1,SILT,15.72,111.06,11.75,72.55,348.96,28.23,100.54,Spinach,Cotton,1.39,rainfed
Field_023,2021,5.6,LOAM,15.22,141.57,32.06,69.02,7.2 in,23.75F,-1,Oats,Soybean,6.91,rainfed
Field_035,2022,6.98,Clay,12.56,44.74,32.29,91.01,537.74,26.03,744.87,Sunflower,Plum,1.04,river
Field_033,2021,6.72,Silt,17.73,133.11,10.09,100.63,401.87,24.12,247.88,Pepper,Chickpea,6.33,well
Field_002,2021,8.43,clay,68.5,139.57,18.87,38.73,729.99,27.1,104.37,Canola,Rice,7.66,canal
Field_015,2025,9.47,peat,37.23,62.79,19.9,36.61,491.02,15.32,803.48,Canola,Pineapple,3.54,well
Field_018,2020,5.21,Peat,28.72,60.35,57.49,50.37,15.5 in,16.1,864.44,Strawberry,Sweet Potato,3.26,canal
Field_019,2022,9.46,Sandy,19.49,117.28,68.9,58.41,498.56,34.91,369.33,Plum,Plum,4.23,rainfed
Field_050,2025,7.93,Peat,34.87,160.12,71.94,79.04,420.87,13.61,695.86,Pea,Banana,8.05,well
Field_004,2025,7.01,CLAY,37.38,12.84,15.54,100.03,313.67,22.19F,329.09,Wheat,Pepper,3.67,well
Field_025,2021,8.32,Silt,18.54,72.23,37.52,55.84,725.85,24.31,604.64,Tea,Onion,9.76,well
Field_022,2020,7.47,loam,45.03,129.14,42.98,28.65,20.8 in,22.8,702.69,Potato,Sweet Potato,0.7,rainfed
Field_004,2018,6.3,CLAY,30.29,14.01,13.31,108.38,454.01,18.95,448.95,Cocoa,Flax,2.84,well
Field_002,2024,8.7,clay,42.8,92.45,22.14,27.52,832.78,26.95,76.04,Corn,Corn,7.3,canal
Field_006,2020,7.7,sandy,35.82,89.48,-1,39.1,681.43,16.33,130.48,Chickpea,Chickpea,8.73,well
Field_014,2024,4.77,Loam,31.12,100.44,22.04,48.53,573.7,30.31,111.76,Cauliflower,Spinach,6.63,canal
Field_031,2022,5.24,PEAT,39.55,73.46,64.52,39.94,276.68,10.63,460.23,Hemp,Cabbage,3.26,canal
Field_032,2020,7.34,peat,40.24,92.92,61.66,94.68,401.16,23.03,856.38,Wheat,Hemp,9.03,well
Field_019,2021,7.51,Sandy,17.91,,48.48,47.61,752.73,27.99,519.38,Soybean,Grapes,9.47,rainfed
Field_002,2019,6.71,clay,66.58,156.89,29.38,41.72,17.3 in,27.43,74.84,Pea,Cocoa,5.06,canal
Field_011,2018,6.79,CLAY,21.4,25.36,20.26,95.61,347.31,10.94F,227.13,Banana,Rice,6.77,well
Field_040,2019,7.02,LOAM,13.42,42.45,36.05,66.73,246.99,17.03,314.97,Strawberry,Cocoa,6.15,rainfed
Field_023,2019,8.83,LOAM,23.01,105.4,36.33,104.83,196.9,19.73,227.76,Mango,Wheat,4.36,rainfed
Field_016,2020,4.97,clay,13.22,152.66,13.28,52.81,642.76,16.49,343.16,Wheat,Pepper,6.11,well
Field_047,2024,5.63,Loam,20.82,12.13,48.28,66.42,255.88,20.4,125.93,Millet,Soybean,6.59,rainfed
Field_022,2021,5.18,loam,51.28,112.73,43.17,24.34,577.74,27.82F,848.3,Rice,Sunflower,9.44,rainfed
Field_024,2024,6.68,Clay,27.72,23.65,35.98,72.06,546.8,34.04F,445.85,Pepper,Pumpkin,7.96,river
Field_013,2024,,Peat,26.32,127.75,39.34,20.31,235.01,27.28,492.12,Plum,Cabbage,2.5,rainfed
Field_006,2019,8.82,sandy,46.77,94.67,13.8,41.5,653.2,14.63,159.91,Chickpea,Mango,0.99,well
Field_042,2022,8.35,Sandy,10.89,23.9,31.24,33.63,218.3,20.33F,492.67,Wheat,Wheat,7.21,river
Field_037,2025,6.64,Sandy,26.9,54.68,33.29,68.33,763.57,18.62,442.84,Beet,Mango,6.98,well
Field_029,2023,8.7,SANDY,34.99,99.85,16.56,70.83,688.25,13.64,72.66,Cauliflower,Cabbage,7.6,rainfed
Field_012,2021,5.96,Silt,20.23,15.61,49.64,32.54,275.95,26.91F,504.72,Broccoli,Broccoli,8.93,river
